reftramo,geom,idcalle,nombre,tipo_vialidad,fuente,localidad,departamento
740224,0105000020D17F0000010000000102000000060000005A4F8AF494C52141FFCBF81C0B6C5741337950F686C521413D6218F6076C57419704B7AB6EC521410821D7B5036C57410FE685A553C52141DA51638CFE6B5741A56303254BC52141BA9B281BFD6B57415BD4B1193DC5214112E2CBA1F96B5741,70088,UYMOMVD_SN_1463,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740225,0105000020D17F0000010000000102000000020000002EF46326EDC22141322FEDB5916C5741898938F736C32141C2790211846C5741,70089,UYMOMVD_SN_2217,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740226,0105000020D17F000001000000010200000002000000763246CCB6C221416A365BF78C6C5741C2ADE86FFFC2214129ED566D7F6C5741,70090,UYMOMVD_SN_2322,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
801756,0105000020D17F00000100000001020000000300000029EB3ADD81DF21416C7084B8796F5741A30CA8DF97DF2141BD2AB836746F574191917DF89BDF2141E41868AD726F5741,54334,DESCONOCIDA,CALLE,Google,MONTEVIDEO,MONTEVIDEO
740229,0105000020D17F00000100000001020000000400000081F0E35932C421414DED85A84A6C5741927C70DC5CC42141D967A79A516C57416FC7BB1E83C42141BB5D0D3F586C5741E1A0F91674C4214109AE1D4F596C5741,70093,UYMOMVD_SN_3171,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740233,0105000020D17F0000010000000102000000020000005032E56600C421417B689AE7576C5741579907D5D2C32141CB0865165B6C5741,70097,UYMOMVD_SN_859,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
801766,0105000020D17F00000100000001020000000500000054EAFB2920E0214109000174906F57418AF9363C17E0214164B7170B936F5741E5C24BCA0CE0214185169C08966F5741D3BA245B03E021416F1C90F0986F57412E8439E9F8DF21410F0B22579B6F5741,54347,CAMINO VECINAL,CALLE,Google,MONTEVIDEO,MONTEVIDEO
801767,0105000020D17F00000100000001020000000A0000002E8439E9F8DF21410F0B22579B6F574138933D6CEADF2141809E27B09C6F57417D92612FD4DF21413A498F8A9E6F57414CB14572CDDF2141D7563CC39F6F57417F1DD2FAC0DF2141234F8372A16F574145B82286B5DF2141BA5E2CA3A36F5741D83AFEC38DDF2141A464208BA66F5741D9C56E8F7ADF214153309F2FA86F5741AE318DF962DF21413457AAE1AA6F57410F48DCAE47DF2141EE0112BCAC6F5741,54347,CAMINO VECINAL,CALLE,Google,MONTEVIDEO,MONTEVIDEO
801768,0105000020D17F000001000000010200000002000000BA1A047B33E121416FD70E5E8E6F5741C14C004830E12141CC046734916F5741,10464,CAMINO SERVANDO GOMEZ,CALLE,INTENDENCIA_DE_MONTEVIDEO,MONTEVIDEO,MONTEVIDEO
740237,0105000020D17F0000010000000102000000030000003683AE8338C221414E6980868C6C5741375A886D59C221417F7AC8518F6C574126AC117E88C22141FC104F16986C5741,70099,UYMOMVD_SN_1501,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740238,0105000020D17F00000100000001020000000200000026AC117E88C22141FC104F16986C5741528BF94DA9C22141CD3C93B7956C5741,70100,UYMOMVD_SN_654,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740239,0105000020D17F0000010000000102000000020000008FFBE4D127C2214199AC0B42B26C57416CBA853847C221416462DBC0B26C5741,70101,UYMOMVD_SN_2320,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740240,0105000020D17F00000100000001020000000200000086373ACB0DC221413844531FAD6C5741BFDDCFF52CC221415FE7B5A4AD6C5741,70102,UYMOMVD_SN_1326,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740241,0105000020D17F0000010000000102000000020000005D8D2ACEF4C12141B8AE9EB7A76C574115CFE78F13C22141E9EB8747A86C5741,70103,UYMOMVD_SN_2053,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740242,0105000020D17F0000010000000102000000020000007DCAD3731BC121413E64F3C9256C574140113E0651C12141803289061C6C5741,70104,UYMOMVD_SN_1079,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
